Date,Negative,Neutral,Positive
24/12/2019,0,0,0
25/12/2019,0,0,0
26/12/2019,0,0,0
27/12/2019,0,0,1
28/12/2019,0,0,0
29/12/2019,0,0,0
30/12/2019,0,0,0
31/12/2019,0,0,0
1/01/2020,1,0,0
2/01/2020,1,0,1
3/01/2020,0,0,1
4/01/2020,0,0,0
5/01/2020,0,0,0
6/01/2020,0,0,0
7/01/2020,0,0,0
8/01/2020,1,0,0
9/01/2020,8,5,3
10/01/2020,11,3,2
11/01/2020,8,9,0
12/01/2020,7,5,1
13/01/2020,1,4,1
14/01/2020,2,4,0
15/01/2020,6,21,5
16/01/2020,10,23,0
17/01/2020,26,43,2
18/01/2020,13,25,1
19/01/2020,11,26,1
20/01/2020,51,63,19
21/01/2020,616,458,87
22/01/2020,553,522,95
23/01/2020,794,569,110
24/01/2020,951,788,170
25/01/2020,1897,1343,325
26/01/2020,2006,1210,330
27/01/2020,2181,1429,334
28/01/2020,2534,1799,470
29/01/2020,2638,2472,662
30/01/2020,2945,2167,571
31/01/2020,3335,2443,571
1/02/2020,2670,1702,512
2/02/2020,1963,1270,396
3/02/2020,1742,1373,350
4/02/2020,1632,1340,315
5/02/2020,1582,1521,387
6/02/2020,1538,1223,341
7/02/2020,1892,1358,329
8/02/2020,1554,1039,286
9/02/2020,1351,760,214
10/02/2020,1133,984,283
11/02/2020,1487,1195,343
12/02/2020,1449,1025,383
13/02/2020,1410,1300,330
14/02/2020,1211,1104,281
15/02/2020,989,681,176
16/02/2020,856,616,182
17/02/2020,950,985,223
18/02/2020,1058,1042,245
19/02/2020,886,836,206
20/02/2020,797,931,178
21/02/2020,803,801,187
22/02/2020,1027,1001,221
23/02/2020,931,845,196
24/02/2020,1487,1627,331
25/02/2020,1824,1588,394
26/02/2020,2623,2266,533
27/02/2020,3680,2613,784
28/02/2020,3998,2888,925
29/02/2020,4254,2429,807
1/03/2020,3859,2246,679
2/03/2020,3892,3122,784
3/03/2020,5723,3716,1024
4/03/2020,7152,4215,1196
5/03/2020,6347,4478,1522
6/03/2020,5651,3702,1228
7/03/2020,5875,3078,1247
8/03/2020,5653,3248,1265
9/03/2020,6296,3694,1425
10/03/2020,8612,5498,1865
11/03/2020,8215,5574,2143
12/03/2020,13653,8210,4446
13/03/2020,19148,11079,5764
14/03/2020,13800,8011,4167
15/03/2020,13521,7724,3926
16/03/2020,15005,10082,4466
17/03/2020,15978,10689,5060
18/03/2020,14574,10130,4856
19/03/2020,14702,10363,4743
20/03/2020,13571,9760,4469
21/03/2020,12753,7190,3550
22/03/2020,12908,8713,3771
23/03/2020,14424,10152,4605
24/03/2020,14112,10079,3979
25/03/2020,13547,11269,4685
26/03/2020,12622,9993,3953
27/03/2020,12417,9614,4489
28/03/2020,10667,7227,3271
29/03/2020,9301,6625,3045
30/03/2020,10418,8343,3323
31/03/2020,9687,8691,3300
1/04/2020,10025,8266,3206
2/04/2020,10098,8979,3173
3/04/2020,8478,7918,2761
4/04/2020,7594,5686,2361
5/04/2020,7979,5522,2442
6/04/2020,8246,7201,2726
7/04/2020,7600,7351,2641
8/04/2020,7304,6456,2484
